日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1991-04-03,000001,-2.49,-2.49,-2.49,-2.49,1,5000.0,0.0,2.73,0.07,0.0
1991-04-04,000001,-2.49,-2.49,-2.49,-2.49,3,15000.0,0.0,0.0,0.0,0.0
1991-04-05,000001,-2.49,-2.49,-2.49,-2.49,2,10000.0,0.0,0.0,0.0,0.0
1991-04-06,000001,-2.49,-2.49,-2.49,-2.49,7,34000.0,0.0,0.0,0.0,0.0
1991-04-08,000001,-2.5,-2.5,-2.5,-2.5,2,10000.0,0.0,-0.4,-0.01,0.0
1991-04-09,000001,-2.5,-2.5,-2.5,-2.5,4,19000.0,0.0,0.0,0.0,0.0
1991-04-10,000001,-2.5,-2.5,-2.5,-2.5,15,71000.0,0.0,0.0,0.0,0.0
1991-04-12,000001,-2.5,-2.5,-2.5,-2.5,8,38000.0,0.0,0.0,0.0,0.0
1991-04-13,000001,-2.5,-2.5,-2.5,-2.5,5,23000.0,0.0,0.0,0.0,0.0
1991-04-16,000001,-2.51,-2.51,-2.51,-2.51,2,9000.0,0.0,-0.4,-0.01,0.0
1991-04-17,000001,-2.51,-2.51,-2.51,-2.51,1,4615.0,0.0,0.0,0.0,0.0
1991-04-18,000001,-2.51,-2.51,-2.51,-2.51,4,18000.0,0.0,0.0,0.0,0.0
1991-04-19,000001,-2.51,-2.51,-2.51,-2.51,2,9000.0,0.0,0.0,0.0,0.0
1991-04-20,000001,-2.52,-2.52,-2.52,-2.52,5,23000.0,0.0,-0.4,-0.01,0.0
1991-04-23,000001,-2.52,-2.52,-2.52,-2.52,28,126000.0,0.0,0.0,0.0,0.01
1991-04-24,000001,-2.52,-2.52,-2.52,-2.52,16,72000.0,0.0,0.0,0.0,0.0
1991-04-25,000001,-2.52,-2.52,-2.52,-2.52,15,67000.0,0.0,0.0,0.0,0.0
1991-04-26,000001,-2.52,-2.52,-2.52,-2.52,8,35000.0,0.0,0.0,0.0,0.0
1991-04-29,000001,-2.53,-2.53,-2.53,-2.53,4,17000.0,0.0,-0.4,-0.01,0.0
1991-04-30,000001,-2.53,-2.53,-2.53,-2.53,2,9000.0,0.0,0.0,0.0,0.0
1991-05-02,000001,-2.39,-2.39,-2.39,-2.39,2,9000.0,0.0,5.53,0.14,0.0
1991-05-03,000001,-2.39,-2.39,-2.39,-2.39,3,13000.0,0.0,0.0,0.0,0.0
1991-05-04,000001,-2.4,-2.4,-2.4,-2.4,2,9000.0,0.0,-0.42,-0.01,0.0
1991-05-06,000001,-2.4,-2.4,-2.4,-2.4,9,38520.0,0.0,0.0,0.0,0.0
1991-05-07,000001,-2.4,-2.4,-2.4,-2.4,2,8518.0,0.0,0.0,0.0,0.0
1991-05-08,000001,-2.4,-2.4,-2.4,-2.4,109,462000.0,0.0,0.0,0.0,0.03
1991-05-09,000001,-2.4,-2.4,-2.4,-2.4,15,63000.0,0.0,0.0,0.0,0.0
1991-05-10,000001,-2.41,-2.41,-2.41,-2.41,20,84000.0,0.0,-0.42,-0.01,0.01
1991-05-11,000001,-2.41,-2.41,-2.41,-2.41,6,25000.0,0.0,0.0,0.0,0.0
1991-05-13,000001,-2.41,-2.41,-2.41,-2.41,19,79000.0,0.0,0.0,0.0,0.01
1991-05-14,000001,-2.41,-2.41,-2.41,-2.41,55,227000.0,0.0,0.0,0.0,0.01
1991-05-15,000001,-2.42,-2.42,-2.42,-2.42,387,1591000.0,0.0,-0.41,-0.01,0.1
1991-05-16,000001,-2.42,-2.42,-2.42,-2.42,493,2017000.0,0.0,0.0,0.0,0.13
1991-05-17,000001,-2.42,-2.42,-2.42,-2.42,419,1706000.0,0.0,0.0,0.0,0.11
1991-05-18,000001,-2.42,-2.42,-2.42,-2.42,110,446000.0,0.0,0.0,0.0,0.03
1991-05-20,000001,-2.43,-2.43,-2.43,-2.43,51,205000.0,0.0,-0.41,-0.01,0.01
1991-05-21,000001,-2.43,-2.43,-2.43,-2.43,63,253000.0,0.0,0.0,0.0,0.02
1991-05-22,000001,-2.43,-2.43,-2.43,-2.43,43,171000.0,0.0,0.0,0.0,0.01
1991-05-23,000001,-2.43,-2.43,-2.43,-2.43,17,67000.0,0.0,0.0,0.0,0.0
1991-05-24,000001,-2.43,-2.43,-2.43,-2.43,3,12000.0,0.0,0.0,0.0,0.0
1991-05-27,000001,-2.44,-2.44,-2.44,-2.44,5,19000.0,0.0,-0.41,-0.01,0.0
1991-05-28,000001,-2.44,-2.44,-2.44,-2.44,3,12000.0,0.0,0.0,0.0,0.0
1991-05-29,000001,-2.44,-2.44,-2.44,-2.44,36,139000.0,0.0,0.0,0.0,0.01
1991-05-30,000001,-2.45,-2.45,-2.45,-2.45,14,54000.0,0.0,-0.41,-0.01,0.0
1991-05-31,000001,-2.45,-2.45,-2.45,-2.45,1,4000.0,0.0,0.0,0.0,0.0
1991-06-01,000001,-2.45,-2.45,-2.45,-2.45,10,38000.0,0.0,0.0,0.0,0.0
1991-06-03,000001,-2.45,-2.45,-2.45,-2.45,7,26000.0,0.0,0.0,0.0,0.0
1991-06-04,000001,-2.45,-2.45,-2.45,-2.45,1,3777.0,0.0,0.0,0.0,0.0
1991-06-06,000001,-2.46,-2.46,-2.46,-2.46,4,15000.0,0.0,-0.41,-0.01,0.0
1991-06-07,000001,-2.46,-2.46,-2.46,-2.46,1,3720.0,0.0,0.0,0.0,0.0
1991-06-08,000001,-2.46,-2.46,-2.46,-2.46,6,22000.0,0.0,0.0,0.0,0.0
1991-06-10,000001,-2.46,-2.46,-2.46,-2.46,15,55000.0,0.0,0.0,0.0,0.0
1991-06-11,000001,-2.47,-2.47,-2.47,-2.47,12,44000.0,0.0,-0.41,-0.01,0.0
1991-06-12,000001,-2.47,-2.47,-2.47,-2.47,15,55000.0,0.0,0.0,0.0,0.0
1991-06-13,000001,-2.47,-2.47,-2.47,-2.47,34,123000.0,0.0,0.0,0.0,0.01
1991-06-14,000001,-2.47,-2.47,-2.47,-2.47,7,25000.0,0.0,0.0,0.0,0.0
1991-06-15,000001,-2.47,-2.47,-2.47,-2.47,27,97000.0,0.0,0.0,0.0,0.01
1991-06-17,000001,-2.48,-2.48,-2.48,-2.48,5,18000.0,0.0,-0.4,-0.01,0.0
1991-06-18,000001,-2.48,-2.48,-2.48,-2.48,10,35000.0,0.0,0.0,0.0,0.0
1991-06-19,000001,-2.48,-2.48,-2.48,-2.48,57,202000.0,0.0,0.0,0.0,0.02
1991-06-20,000001,-2.48,-2.48,-2.48,-2.48,30,105000.0,0.0,0.0,0.0,0.01
1991-06-21,000001,-2.48,-2.48,-2.48,-2.48,2,7000.0,0.0,0.0,0.0,0.0
1991-06-22,000001,-2.49,-2.49,-2.49,-2.49,16,56000.0,0.0,-0.4,-0.01,0.0
1991-06-24,000001,-2.49,-2.49,-2.49,-2.49,25,87000.0,0.0,0.0,0.0,0.01
1991-06-25,000001,-2.49,-2.49,-2.49,-2.49,12,41000.0,0.0,0.0,0.0,0.0
1991-06-26,000001,-2.49,-2.49,-2.49,-2.49,4,14000.0,0.0,0.0,0.0,0.0
1991-06-27,000001,-2.49,-2.49,-2.49,-2.49,4,14000.0,0.0,0.0,0.0,0.0
1991-06-28,000001,-2.5,-2.5,-2.5,-2.5,2,7000.0,0.0,-0.4,-0.01,0.0
1991-07-01,000001,-2.5,-2.5,-2.5,-2.5,2,7000.0,0.0,0.0,0.0,0.0
1991-07-02,000001,-2.5,-2.5,-2.5,-2.5,2,7000.0,0.0,0.0,0.0,0.0
1991-07-04,000001,-2.51,-2.51,-2.51,-2.51,11,36000.0,0.0,-0.4,-0.01,0.0
1991-07-05,000001,-2.51,-2.51,-2.51,-2.51,2,6594.0,0.0,0.0,0.0,0.0
1991-07-06,000001,-2.51,-2.51,-2.51,-2.51,1,3000.0,0.0,0.0,0.0,0.0
1991-07-08,000001,-2.51,-2.51,-2.51,-2.51,9,29000.0,0.0,0.0,0.0,0.0
1991-07-10,000001,-2.52,-2.52,-2.52,-2.52,6,19000.0,0.0,-0.4,-0.01,0.0
1991-07-11,000001,-2.52,-2.52,-2.52,-2.52,1,3217.0,0.0,0.0,0.0,0.0
1991-07-15,000001,-2.52,-2.52,-2.52,-2.52,4,13000.0,0.0,0.0,0.0,0.0
1991-07-19,000001,-2.53,-2.53,-2.53,-2.53,1,3000.0,0.0,-0.4,-0.01,0.0
1991-07-20,000001,-2.53,-2.53,-2.53,-2.53,2,6000.0,0.0,0.0,0.0,0.0
1991-07-24,000001,-2.54,-2.54,-2.54,-2.54,2,6000.0,0.0,-0.4,-0.01,0.0
1991-07-26,000001,-2.54,-2.54,-2.54,-2.54,3,9000.0,0.0,0.0,0.0,0.0
1991-07-29,000001,-2.54,-2.54,-2.54,-2.54,7,21000.0,0.0,0.0,0.0,0.0
1991-07-30,000001,-2.54,-2.54,-2.54,-2.54,7,21000.0,0.0,0.0,0.0,0.0
1991-07-31,000001,-2.55,-2.55,-2.55,-2.55,1,3000.0,0.0,-0.39,-0.01,0.0
